tag,role,format,aami,n,n_abn,abn_fraction,class_auc,global_auc,recall@0.35,recall@0.50,recall@0.60,recall@0.65,global_precision@0.35,global_precision@0.50,global_precision@0.60,global_precision@0.65,global_far@0.35,global_far@0.50,global_far@0.60,global_far@0.65
cnn_standard_baseline,cross_arch_baseline,h5_float32,S,1812,1812,1.0,,0.748436,0.761038,0.687086,0.626932,0.591611,0.267073,0.242397,0.221359,0.211105,0.282213,0.237574,0.214907,0.202241
cnn_standard_baseline,cross_arch_baseline,h5_float32,V,14390,14390,1.0,,0.748436,0.748019,0.534538,0.415705,0.363516,0.267073,0.242397,0.221359,0.211105,0.282213,0.237574,0.214907,0.202241
cnn_standard_baseline,cross_arch_baseline,h5_float32,F,2334,2334,1.0,,0.748436,0.293488,0.166238,0.111825,0.085261,0.267073,0.242397,0.221359,0.211105,0.282213,0.237574,0.214907,0.202241
cnn_standard_baseline,cross_arch_baseline,h5_float32,Q,0,0,,,0.748436,,,,,0.267073,0.242397,0.221359,0.211105,0.282213,0.237574,0.214907,0.202241
cnn_standard_baseline,cross_arch_baseline,h5_float32,ALL,163078,20891,0.128104,,0.748436,0.699919,0.517352,0.415825,0.36834,0.267073,0.242397,0.221359,0.211105,0.282213,0.237574,0.214907,0.202241
cnn_standard_deploy,cross_arch_deploy,h5_float32,N,116921,0,0.0,,0.798678,,,,,0.293109,0.296799,0.313687,0.334493,0.173652,0.132572,0.100895,0.08204
cnn_standard_deploy,cross_arch_deploy,h5_float32,S,1812,1812,1.0,,0.798678,0.646247,0.44702,0.3383,0.299117,0.293109,0.296799,0.313687,0.334493,0.173652,0.132572,0.100895,0.08204
cnn_standard_deploy,cross_arch_deploy,h5_float32,V,14390,14390,1.0,,0.798678,0.495969,0.390827,0.329048,0.297151,0.293109,0.296799,0.313687,0.334493,0.173652,0.132572,0.100895,0.08204
cnn_standard_deploy,cross_arch_deploy,h5_float32,F,2334,2334,1.0,,0.798678,0.107112,0.052271,0.027421,0.017995,0.293109,0.296799,0.313687,0.334493,0.173652,0.132572,0.100895,0.08204
cnn_standard_deploy,cross_arch_deploy,h5_float32,Q,0,0,,,0.798678,,,,,0.293109,0.296799,0.313687,0.334493,0.173652,0.132572,0.100895,0.08204
cnn_standard_deploy,cross_arch_deploy,h5_float32,ALL,163078,20891,0.128104,,0.798678,0.490067,0.380834,0.313867,0.280647,0.293109,0.296799,0.313687,0.334493,0.173652,0.132572,0.100895,0.08204
resnet1d_baseline,cross_arch_baseline,h5_float32,N,116921,0,0.0,,0.828974,,,,,0.329246,0.350375,0.358515,0.359352,0.231997,0.187134,0.163215,0.152215
resnet1d_baseline,cross_arch_baseline,h5_float32,S,1812,1812,1.0,,0.828974,0.864238,0.788631,0.746137,0.730684,0.329246,0.350375,0.358515,0.359352,0.231997,0.187134,0.163215,0.152215
resnet1d_baseline,cross_arch_baseline,h5_float32,V,14390,14390,1.0,,0.828974,0.827241,0.725156,0.641557,0.5918,0.329246,0.350375,0.358515,0.359352,0.231997,0.187134,0.163215,0.152215
resnet1d_baseline,cross_arch_baseline,h5_float32,F,2334,2334,1.0,,0.828974,0.206512,0.119966,0.095116,0.075407,0.329246,0.350375,0.358515,0.359352,0.231997,0.187134,0.163215,0.152215
resnet1d_baseline,cross_arch_baseline,h5_float32,Q,0,0,,,0.828974,,,,,0.329246,0.350375,0.358515,0.359352,0.231997,0.187134,0.163215,0.152215
resnet1d_baseline,cross_arch_baseline,h5_float32,ALL,163078,20891,0.128104,,0.828974,0.775071,0.686947,0.620842,0.581111,0.329246,0.350375,0.358515,0.359352,0.231997,0.187134,0.163215,0.152215
resnet1d_deploy,cross_arch_deploy,h5_float32,N,116921,0,0.0,,0.831062,,,,,0.284308,0.353158,0.405586,0.435192,0.2986,0.202705,0.150126,0.126172
resnet1d_deploy,cross_arch_deploy,h5_float32,S,1812,1812,1.0,,0.831062,0.850993,0.789183,0.733996,0.684327,0.284308,0.353158,0.405586,0.435192,0.2986,0.202705,0.150126,0.126172
resnet1d_deploy,cross_arch_deploy,h5_float32,V,14390,14390,1.0,,0.831062,0.861084,0.817929,0.770049,0.738499,0.284308,0.353158,0.405586,0.435192,0.2986,0.202705,0.150126,0.126172
resnet1d_deploy,cross_arch_deploy,h5_float32,F,2334,2334,1.0,,0.831062,0.292631,0.199229,0.150814,0.128106,0.284308,0.353158,0.405586,0.435192,0.2986,0.202705,0.150126,0.126172
resnet1d_deploy,cross_arch_deploy,h5_float32,Q,0,0,,,0.831062,,,,,0.284308,0.353158,0.405586,0.435192,0.2986,0.202705,0.150126,0.126172
resnet1d_deploy,cross_arch_deploy,h5_float32,ALL,163078,20891,0.128104,,0.831062,0.807333,0.753243,0.69719,0.661672,0.284308,0.353158,0.405586,0.435192,0.2986,0.202705,0.150126,0.126172
