name,STARTUP_BLANK_SAMP,MIN_CONF_FEAT,GATE_RF_MAX,GATE_WIDTH_RATIO,GATE_AMP_CONSISTENCY,GATE_AMP_FRAC_PREV,GATE_RR_RATIO,MIN_QRS_WIDTH,MAX_QRS_WIDTH,records,gold_beats,det_beats,tp,fp,fn,se,ppv,f1,bpm_mae,bpm_median_err,bpm_p90,bpm_within3,bpm_within5
rf_c5_40_ac025,0,5,40,,0.25,,,,,200,1831,1403,866,537,965,0.4729655925723648,0.617248752672844,0.5355596784168213,21.03089743470826,14.145011981235896,49.82884884363919,20.5,29.5
rf_c5_40_ac030,0,5,40,,0.3,,,,,200,1831,1467,923,544,908,0.5040961223375204,0.6291751874573961,0.5597331716191631,20.880641366661845,14.031499202551828,50.874566970945956,23.5,31.0
rf_c5_40_ac035,0,5,40,,0.35,,,,,200,1831,1528,977,551,854,0.533588203167668,0.6393979057591623,0.5817207502232807,19.988734001874732,12.445712037765546,49.82884884363919,25.0,34.0
rf_c5_40_wr20,0,5,40,2.0,,,,,,200,1831,2424,1753,671,78,0.957400327689787,0.7231848184818482,0.8239717978848413,8.978160974884037,3.2606036753352967,26.906310119276636,48.5,65.0
rf_c5_40_wr25,0,5,40,2.5,,,,,,200,1831,2450,1772,678,59,0.9677771709448388,0.723265306122449,0.8278439616911936,9.018160974884038,3.146201459609795,26.906310119276636,49.0,65.0
rf_c5_40_prev045,0,5,40,,,0.45,,,,200,1831,2445,1774,671,57,0.9688694702348444,0.725562372188139,0.8297474275023385,8.838274431705594,2.6925000415372082,26.906310119276636,51.5,66.0
rf_c5_40_prev055,0,5,40,,,0.55,,,,200,1831,2439,1772,667,59,0.9677771709448388,0.7265272652726528,0.8299765807962529,8.855382865440536,2.8200067129896382,26.906310119276636,51.0,65.5
rf_c5_40_rr055,0,5,40,,,,0.55,,,200,1831,2452,1774,678,57,0.9688694702348444,0.7234910277324633,0.8283913144991829,8.968160974884038,3.146201459609795,26.08260869565217,49.0,65.0
rf_c5_40_rr060,0,5,40,,,,0.6,,,200,1831,2450,1771,679,60,0.9672310212998362,0.7228571428571429,0.8273767811259052,8.993160974884038,3.146201459609795,26.08260869565217,49.0,64.5
rf_c5_40_ac030_wr25,0,5,40,2.5,0.3,,,,,200,1831,1452,909,543,922,0.4964500273074823,0.6260330578512396,0.5537618032287541,21.04730803332851,14.372897052014196,50.874566970945956,22.5,30.5
rf_c5_40_ac030_prev055,0,5,40,,0.3,0.55,,,,200,1831,1458,915,543,916,0.4997269251774986,0.6275720164609053,0.556400121617513,20.995641366661843,14.372897052014196,50.874566970945956,23.5,30.5
rf_c5_40_rr060_wr25,0,5,40,2.5,,,0.6,,,200,1831,2441,1766,675,65,0.9645002730748226,0.7234739860712822,0.8267790262172284,9.043160974884039,3.146201459609795,26.906310119276636,49.0,64.5
adaw_c5_20,0,5,,2.0,,,,,,200,1831,2424,1753,671,78,0.957400327689787,0.7231848184818482,0.8239717978848413,8.978160974884037,3.2606036753352967,26.906310119276636,48.5,65.0
adaw_c5_25,0,5,,2.5,,,,,,200,1831,2458,1772,686,59,0.9677771709448388,0.7209113100081367,0.8262998367917929,9.288160974884038,3.146201459609795,28.175175306978566,49.0,65.0
fixw_c12_10_45,0,12,,,,,,10,45,200,1831,2482,1775,707,56,0.969415619879847,0.7151490733279613,0.8230929747275677,10.113406876523381,3.146201459609795,36.20391684839559,49.0,65.0
blank200_rf_c3_40,200,3,40,,,,,,,200,1831,2294,1773,521,58,0.9683233205898416,0.7728857890148213,0.8596363636363636,5.014872898275463,2.137572422758396,12.985435231113637,61.5,74.5
blank250_rf_c3_35,250,3,35,,,,,,,200,1831,2256,1763,493,68,0.9628618241398144,0.7814716312056738,0.8627355028137998,4.780548963387759,1.7770897832817312,12.347748594106823,62.5,76.0
blank250_rf_c3_40,250,3,40,,,,,,,200,1831,2259,1764,495,67,0.963407973784817,0.7808764940239044,0.8625916870415646,4.780548963387759,1.7770897832817312,12.347748594106823,62.5,76.0
blank250_rf_c3_45,250,3,45,,,,,,,200,1831,2259,1764,495,67,0.963407973784817,0.7808764940239044,0.8625916870415646,4.780548963387759,1.7770897832817312,12.347748594106823,62.5,76.0
blank250_rf_c4_40,250,4,40,,,,,,,200,1831,2267,1765,502,66,0.9639541234298198,0.7785619761799736,0.8613958028306491,5.990548963387759,1.8214469398251296,14.967542094673282,61.5,75.0
blank250_rf_c5_40,250,5,40,,,,,,,200,1831,2271,1765,506,66,0.9639541234298198,0.7771906649053281,0.8605558264261336,6.6905489633877595,1.853420195439739,19.142567878508967,60.5,73.5
blank250_rf_c3_40_prev045,250,3,40,,,0.45,,,,200,1831,2250,1764,486,67,0.963407973784817,0.784,0.8644939965694682,4.65555158567911,1.5872782012683402,12.513031024395943,67.0,78.5
blank250_rf_c3_40_prev055,250,3,40,,,0.55,,,,200,1831,2248,1764,484,67,0.963407973784817,0.7846975088967971,0.8649178720274577,4.53266001941405,1.5444120859119082,12.513031024395943,67.0,79.0
blank250_rf_c3_40_rr055,250,3,40,,,,0.55,,,200,1831,2256,1763,493,68,0.9628618241398144,0.7814716312056738,0.8627355028137998,4.780548963387759,1.7770897832817312,12.347748594106823,62.5,76.0
blank250_rf_c3_40_rr060,250,3,40,,,,0.6,,,200,1831,2255,1762,493,69,0.9623156744948116,0.7813747228381375,0.8624571708272147,4.715965977566241,1.7618710134656261,11.87705929363599,63.0,76.5
blank250_rf_c3_40_wr25,250,3,40,2.5,,,,,,200,1831,2250,1757,493,74,0.959584926269798,0.7808888888888889,0.8610634648370498,4.84054896338776,1.7770897832817312,12.347748594106823,62.5,76.0
blank250_rf_c3_40_wr30,250,3,40,3.0,,,,,,200,1831,2256,1762,494,69,0.9623156744948116,0.7810283687943262,0.8622461463175924,4.985548963387759,1.7770897832817312,12.347748594106823,62.5,76.0
blank250_rf_c4_40_prev055,250,4,40,,,0.55,,,,200,1831,2256,1765,491,66,0.9639541234298198,0.7823581560283688,0.8637142158062148,5.849649592106186,1.6875863127205761,16.678542016717994,64.5,76.5
blank300_rf_c3_40,300,3,40,,,,,,,200,1831,2242,1761,481,70,0.9617695248498088,0.7854594112399643,0.864718880432114,5.464481087260299,2.06082735255562,16.017537636888523,60.5,76.5
blank250_rf_c3_40_prev050,250,3,40,,,0.5,,,,200,1831,2249,1762,487,69,0.9623156744948116,0.7834593152512228,0.8637254901960785,4.6326600194140495,1.6253180903186646,12.513031024395943,67.0,79.0
blank250_rf_c3_40_prev060,250,3,40,,,0.6,,,,200,1831,2246,1764,482,67,0.963407973784817,0.7853962600178095,0.8653421633554084,4.5476600194140495,1.5444120859119082,13.018024279492158,67.0,79.0
blank250_rf_c3_40_prev055_rr060,250,3,40,,,0.55,0.6,,,200,1831,2246,1764,482,67,0.963407973784817,0.7853962600178095,0.8653421633554084,4.413077033592532,1.518292682926834,9.43468953524791,67.5,79.5
blank250_rf_c3_40_prev055_rr070,250,3,40,,,0.55,0.7,,,200,1831,2238,1762,476,69,0.9623156744948116,0.7873100983020554,0.8660604571147703,4.261793847751823,1.4631147540983633,9.43468953524791,68.0,80.0
blank250_rf_c3_40_prev055_wr30,250,3,40,3.0,,0.55,,,,200,1831,2246,1764,482,67,0.963407973784817,0.7853962600178095,0.8653421633554084,4.5476600194140495,1.5444120859119082,12.513031024395943,67.0,79.0
blank260_rf_c3_40_prev055,260,3,40,,,0.55,,,,200,1831,2246,1765,481,66,0.9639541234298198,0.7858414959928762,0.8658327201373559,4.402393914112712,1.518292682926834,11.398274421022839,68.5,80.5
blank270_rf_c3_40_prev055,270,3,40,,,0.55,,,,200,1831,2240,1760,480,71,0.9612233752048062,0.7857142857142857,0.8646524195529354,4.37483868548312,1.4167621705117384,12.430669410621393,68.5,80.5
blank250_rf_c4_40_prev060,250,4,40,,,0.6,,,,200,1831,2255,1766,489,65,0.9645002730748226,0.7831485587583149,0.8644150758688205,5.829649592106185,1.6875863127205761,16.678542016717994,64.5,76.5
blank250_rf_c3_40_prev055_rr065,250,3,40,,,0.55,0.65,,,200,1831,2240,1764,476,67,0.963407973784817,0.7875,0.8666175386882831,4.293077033592532,1.518292682926834,9.43468953524791,67.5,79.5
blank260_rf_c3_40_prev055_rr065,260,3,40,,,0.55,0.65,,,200,1831,2238,1765,473,66,0.9639541234298198,0.788650580875782,0.8675350208896536,4.1628109282911945,1.4631147540983633,9.119192922271369,69.0,81.0
blank260_rf_c3_40_prev055_rr070,260,3,40,,,0.55,0.7,,,200,1831,2236,1763,473,68,0.9628618241398144,0.7884615384615384,0.866978116547824,4.131527742450487,1.4167621705117384,9.119192922271369,69.5,81.5
blank260_rf_c3_40_prev060,260,3,40,,,0.6,,,,200,1831,2244,1765,479,66,0.9639541234298198,0.7865418894830659,0.8662576687116564,4.417393914112711,1.518292682926834,11.447748594106818,68.5,80.5
blank275_rf_c3_40_prev055,275,3,40,,,0.55,,,,200,1831,2238,1762,476,69,0.9623156744948116,0.7873100983020554,0.8660604571147703,4.515363580867806,1.4006171133830705,12.513031024395943,69.0,80.0
blank280_rf_c3_40_prev055,280,3,40,,,0.55,,,,200,1831,2233,1762,471,69,0.9623156744948116,0.7890729959695477,0.8671259842519685,4.52576391966735,1.4814074370251973,12.513031024395943,68.5,80.0
blank260_rf_c3_40_prev050,260,3,40,,,0.5,,,,200,1831,2247,1763,484,68,0.9628618241398144,0.7846016911437472,0.8646395291809711,4.502393914112712,1.5872782012683402,11.398274421022839,68.5,80.5
