tag,format,split,theta,policy,global_auc,beat_precision,beat_recall,beat_far,beat_f1,alert_rate,event_precision,event_recall,event_f1,false_alarm_blocks,fp_per_record,fp_per_1000_beats,median_latency_beats
exp7c_float32,h5_float32,test,0.4,2-of-4,0.885715,0.236948,0.5967,0.234177,0.3392,0.273558,0.637308,0.541274,0.585379,733,31.869565,14.127942,0.0
exp7c_float32,h5_float32,test,0.4,3-of-5,0.885715,0.20607,0.383073,0.17986,0.267982,0.201935,0.550854,0.313818,0.399846,552,24.0,10.639323,0.0
exp7c_float32,h5_float32,test,0.4,4-of-7,0.885715,0.206647,0.375089,0.175492,0.266482,0.197174,0.609756,0.291835,0.394742,352,15.304348,6.784496,0.0
exp7c_float32,h5_float32,test,0.4,5-of-5,0.885715,0.184031,0.124734,0.067399,0.148689,0.073627,0.27154,0.041947,0.072668,279,12.130435,5.377484,0.0
exp7c_float32,h5_float32,test,0.45,1-of-1,0.885715,0.40525,0.764194,0.136679,0.529636,0.204846,0.634133,0.795424,0.705679,1968,85.565217,37.9315,0.0
exp7c_float32,h5_float32,test,0.45,2-of-3,0.885715,0.228869,0.335344,0.137695,0.27206,0.159166,0.482301,0.265366,0.342361,819,35.608696,15.785517,0.0
exp7c_float32,h5_float32,test,0.45,2-of-4,0.885715,0.261791,0.51313,0.176336,0.3467,0.212921,0.658972,0.455585,0.538721,650,28.26087,12.528188,0.0
exp7c_float32,h5_float32,test,0.45,3-of-5,0.885715,0.214803,0.294535,0.131209,0.248429,0.148951,0.53373,0.220054,0.311626,470,20.434783,9.058844,0.0
exp7c_float32,h5_float32,test,0.45,4-of-7,0.885715,0.21477,0.286373,0.127597,0.245457,0.144845,0.558322,0.202557,0.297267,337,14.652174,6.495384,0.0
exp7c_float32,h5_float32,test,0.45,5-of-5,0.885715,0.196319,0.096522,0.048154,0.129416,0.053409,0.293478,0.021983,0.040902,195,8.478261,3.758457,0.0
exp7c_float32,h5_float32,test,0.5,1-of-1,0.885715,0.431388,0.683286,0.109758,0.528875,0.17206,0.639787,0.712427,0.674156,1760,76.521739,33.922479,0.0
exp7c_float32,h5_float32,test,0.5,2-of-3,0.885715,0.234093,0.264372,0.105412,0.248313,0.12268,0.451373,0.191117,0.268534,739,32.130435,14.243587,0.0
